RollNo TotalMarks NormalMarks Grade
1 50 64.9351 C
2 10 12.987 U
3 28 36.3636 U
4 51 66.2338 C
5 43 55.8442 D
6 62 80.5195 A
7 23 29.8701 U
8 39 50.6494 D
9 44 57.1429 D
10 64 83.1169 A
11 37 48.0519 E
12 71 92.2078 S
13 54 70.1299 B
14 62 80.5195 A
15 32 41.5584 E
16 14 18.1818 U
17 69 89.6104 A
18 53 68.8312 C
19 61 79.2208 B
20 72 93.5065 S
21 6 7.79221 U
22 61 79.2208 B
23 42 54.5455 D
24 48 62.3377 C
25 28 36.3636 U
26 67 87.013 A
27 37 48.0519 E
28 72 93.5065 S
29 45 58.4416 D
30 30 38.961 U
31 71 92.2078 S
32 53 68.8312 C
33 15 19.4805 U
34 39 50.6494 D
35 50 64.9351 C
36 39 50.6494 D
37 41 53.2468 D
38 71 92.2078 S
39 33 42.8571 E
40 60 77.9221 B
41 52 67.5325 C
42 47 61.039 C
43 45 58.4416 D
44 41 53.2468 D
45 76 98.7013 S
46 57 74.026 B
47 38 49.3506 E
48 77 100 S
49 48 62.3377 C
50 36 46.7532 E
